dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
2,,Sevilla FC,UEFA Super Cup,Defender,Argentina,8wwn9qai1bpesujve04sb225m,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/8wwn9qai1bpesujve04sb225m
8,,Sevilla FC,UEFA Super Cup,Midfielder,Spain,8ycvfctf7c3yljnbtltsogkph,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/8ycvfctf7c3yljnbtltsogkph
31,,Sevilla FC,UEFA Super Cup,Goalkeeper,Spain,944mc5icxdleh4kvaamvpa9zo,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/944mc5icxdleh4kvaamvpa9zo
27,,Sevilla FC,UEFA Super Cup,Defender,Spain,9nwkxgbl8t933pzu60ye4xxxw,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/9nwkxgbl8t933pzu60ye4xxxw
,,Sevilla FC,UEFA Super Cup,Attacker,Morocco,a89554tzfy4nfxrycpr2z0xjp,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/a89554tzfy4nfxrycpr2z0xjp
11,,Sevilla FC,UEFA Super Cup,Midfielder,Mexico,aaw54l5a40rviv8w0um4h12ol,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/aaw54l5a40rviv8w0um4h12ol
1,,Sevilla FC,UEFA Super Cup,Goalkeeper,Serbia,bahph7009sc73jl6s2bramn6d,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/bahph7009sc73jl6s2bramn6d
13,,Sevilla FC,UEFA Super Cup,Goalkeeper,Morocco,c9cp6fxbxyc2a3kfotkompxx,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/c9cp6fxbxyc2a3kfotkompxx
10,,Sevilla FC,UEFA Super Cup,Midfielder,Croatia,depu0zp8jqcyv0jzf5r9yums5,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/depu0zp8jqcyv0jzf5r9yums5
19,,Sevilla FC,UEFA Super Cup,Defender,Argentina,djal5dsafpnhip4lu0ait94np,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/djal5dsafpnhip4lu0ait94np
,,Sevilla FC,UEFA Super Cup,,Spain,dsfl0nsow8editp1aqw35r5cl,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/dsfl0nsow8editp1aqw35r5cl
,,Sevilla FC,UEFA Super Cup,Midfielder,Spain,e9jl3vqporw6ykd05561tzhuc,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/e9jl3vqporw6ykd05561tzhuc
34,,Sevilla FC,UEFA Super Cup,Midfielder,Spain,ea5xlslcii56ycrlmyo6uiimt,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/ea5xlslcii56ycrlmyo6uiimt
,,Sevilla FC,UEFA Super Cup,,Spain,gfa5frpbmw5q46sfheuajv2s,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/gfa5frpbmw5q46sfheuajv2s
22,,Sevilla FC,UEFA Super Cup,Defender,France,rlgrvvibryod2g92hqc97ii2,10eyb18v5puw4ez03ocaug09m,a0f4gtru0oyxmpvty4thc5qkc,4ef6pxrywhpffwguublgrsro4,https://www.scoresway.com/en_GB/soccer/uefa-super-cup-2023-2024/4ef6pxrywhpffwguublgrsro4/teams/view/10eyb18v5puw4ez03ocaug09m/player/view/rlgrvvibryod2g92hqc97ii2
